country,year,poverty_rate,gini,unemployment,crime_rate
SK,2010,10.799999999999999,,14.3,22.04
SK,2011,10.842857142857143,,13.5,15.78
SK,2012,11.099999999999998,,13.9,18.02
SK,2013,10.828571428571427,,14.1,15.43
SK,2014,11.342857142857143,26.1,13.1,12.56
SK,2015,10.685714285714285,23.7,11.5,9.94
SK,2016,10.857142857142858,24.3,9.6,9.69
SK,2017,10.171428571428573,23.2,8.1,8.61
SK,2018,8.842857142857143,20.9,6.5,8.73
SK,2019,10.085714285714285,22.8,5.7,7.52
SK,2020,9.357142857142858,20.9,6.7,5.95
SK,2021,10.457142857142857,21.8,6.8,5.29
SK,2022,9.9,21.2,6.1,5.76
